timestamp,temperature_c,vibration_mm_s,pressure_bar
2025-01-01 00:00:00,15.73,0.837,1.01338
2025-01-01 01:00:00,16.02,1.003,1.01682
2025-01-01 02:00:00,16.64,1.384,1.01486
2025-01-01 03:00:00,17.56,0.929,1.0136
2025-01-01 04:00:00,18.71,1.02,1.01496
2025-01-01 05:00:00,20.04,1.112,1.01475
2025-01-01 06:00:00,21.46,1.054,1.01601
2025-01-01 07:00:00,22.87,1.28,1.01743
2025-01-01 08:00:00,24.2,1.086,1.01659
2025-01-01 09:00:00,25.36,1.253,1.01756
2025-01-01 10:00:00,26.27,1.528,1.01825
2025-01-01 11:00:00,26.89,1.218,1.01678
2025-01-01 12:00:00,27.18,1.238,1.01611
2025-01-01 13:00:00,27.13,1.265,1.01637
2025-01-01 14:00:00,26.76,1.413,1.01797
2025-01-01 15:00:00,26.08,1.37,1.01857
2025-01-01 16:00:00,25.17,1.813,1.01725
2025-01-01 17:00:00,24.08,1.659,1.01533
2025-01-01 18:00:00,22.91,1.718,1.02196
2025-01-01 19:00:00,21.74,1.825,1.01828
2025-01-01 20:00:00,20.65,1.548,1.01677
2025-01-01 21:00:00,19.74,1.731,1.01823
2025-01-01 22:00:00,19.07,1.882,1.01961
2025-01-01 23:00:00,18.69,2.648,1.01687
2025-01-02 00:00:00,15.73,1.536,1.0188
2025-01-02 01:00:00,16.02,1.535,1.0221799999999999
2025-01-02 02:00:00,16.64,1.241,1.02076
2025-01-02 03:00:00,17.56,1.139,1.02014
2025-01-02 04:00:00,18.71,1.224,1.0234299999999998
2025-01-02 05:00:00,20.04,1.071,1.01862
2025-01-02 06:00:00,21.46,1.058,1.02572
2025-01-02 07:00:00,22.87,1.244,1.01905
2025-01-02 08:00:00,24.2,1.077,1.02163
2025-01-02 09:00:00,25.36,1.229,1.02064
2025-01-02 10:00:00,26.27,1.141,1.02225
2025-01-02 11:00:00,26.89,1.317,1.02198
2025-01-02 12:00:00,27.18,1.335,1.02076
2025-01-02 13:00:00,27.13,1.273,1.0253299999999999
2025-01-02 14:00:00,26.76,1.407,1.021
2025-01-02 15:00:00,26.08,1.375,1.0239099999999999
2025-01-02 16:00:00,25.17,1.587,1.02518
2025-01-02 17:00:00,24.08,1.497,1.0192999999999999
2025-01-02 18:00:00,22.91,1.783,1.02244
2025-01-02 19:00:00,21.74,1.676,1.0271199999999998
2025-01-02 20:00:00,20.65,1.727,1.02609
2025-01-02 21:00:00,19.74,1.956,1.02136
2025-01-02 22:00:00,19.07,1.631,1.02125
2025-01-02 23:00:00,18.69,1.986,1.0248199999999998
2025-01-03 00:00:00,15.73,0.876,1.02577
2025-01-03 01:00:00,16.02,0.925,1.02521
2025-01-03 02:00:00,16.64,0.991,1.02336
2025-01-03 03:00:00,17.56,1.087,1.01961
2025-01-03 04:00:00,18.71,1.062,1.02007
2025-01-03 05:00:00,20.04,1.839,1.02183
2025-01-03 06:00:00,21.46,1.026,1.0221799999999999
2025-01-03 07:00:00,22.87,1.2,1.0234
2025-01-03 08:00:00,24.2,1.112,1.02389
2025-01-03 09:00:00,25.36,1.124,1.02277
2025-01-03 10:00:00,26.27,1.153,1.02498
2025-01-03 11:00:00,26.89,1.317,1.01888
2025-01-03 12:00:00,27.18,1.253,1.0232
2025-01-03 13:00:00,27.13,1.429,1.0196399999999999
2025-01-03 14:00:00,26.76,1.435,1.02301
2025-01-03 15:00:00,26.08,1.409,1.02072
2025-01-03 16:00:00,25.17,1.443,1.01865
2025-01-03 17:00:00,24.08,1.545,1.0185499999999998
2025-01-03 18:00:00,22.91,1.545,1.01769
2025-01-03 19:00:00,21.74,1.536,1.01835
2025-01-03 20:00:00,20.65,1.978,1.0201
2025-01-03 21:00:00,19.74,1.784,1.01899
2025-01-03 22:00:00,19.07,2.085,1.02069
2025-01-03 23:00:00,18.69,1.795,1.01809
2025-01-04 00:00:00,15.73,0.777,1.01501
2025-01-04 01:00:00,16.02,0.869,1.01605
2025-01-04 02:00:00,16.64,0.94,1.0164
2025-01-04 03:00:00,17.56,0.94,1.01894
2025-01-04 04:00:00,18.71,1.053,1.01263
2025-01-04 05:00:00,20.04,0.986,1.01428
2025-01-04 06:00:00,21.46,1.139,1.01348
2025-01-04 07:00:00,22.87,1.41,1.01288
2025-01-04 08:00:00,24.2,1.369,1.01565
2025-01-04 09:00:00,25.36,1.37,1.01314
2025-01-04 10:00:00,26.27,1.2,1.01465
2025-01-04 11:00:00,26.89,1.477,1.00982
2025-01-04 12:00:00,27.18,1.26,1.01264
2025-01-04 13:00:00,27.13,1.384,1.0085
2025-01-04 14:00:00,26.76,1.713,1.01172
2025-01-04 15:00:00,26.08,1.417,1.0154
2025-01-04 16:00:00,25.17,1.633,1.0107599999999999
2025-01-04 17:00:00,24.08,1.462,1.0156699999999999
